id,inventory,statistic,value,interval_low,interval_high,interval_label,cells,members,detail
primary_theta_grid,grid,AUC_J - AUC_F* (F* = F-5-macro),0.06998299319727892,-0.005697278911564617,0.14365079365079364,DESCRIPTIVE,42,14,token readiness_or_precision_insufficient
token_J-M,grid,J-M token,readiness_or_precision_insufficient,,,,,,
token_J-OL,grid,J-OL token,readiness_or_precision_insufficient,,,,,,
guard_G1,,G1 pass,True,,,,,,"{""run_records"": [{""abs_cost_delta"": 0.0, ""arm"": ""J"", ""chosen"": 5, ""ok"": true, ""reference"": ""decision--hybrid-adaptive-e225--seed20260908--issue-77-n1-001-a00"", ""reference_chosen"": 5}, {""abs_cost_delta"": 0.0, ""arm"": ""F-15-continuous"", ""chosen"": 12, ""ok"": true, ""reference"": ""decision--hybrid-fixed-h15-e225--seed20260908--issue-77-n1-001-a00"", ""reference_chosen"": 12}], ""smoke"": [{""abs_cost_delta"": 0.0, ""chosen_ordinal_fresh"": 5, ""chosen_ordinal_retained"": 5, ""control"": ""G1_replication_J""}, {""abs_cost_delta"": 0.0, ""chosen_ordinal_fresh"": 12, ""chosen_ordinal_retained"": 12, ""control"": ""G1_replication_F-15-continuous""}]}"
guard_G2,,G2 pass,True,,,,,,"{""equal"": 15, ""members"": 15}"
guard_G3,,G3 pass,True,,,,,,"{""nonfinite_share"": 0.0, ""verdict_resolution"": 1.0}"
guard_G4,,G4 pass,False,,,,,,"{""cells"": 42, ""tied_cells"": 17, ""tied_share"": 0.40476190476190477}"
guard_G5,,G5 pass,True,,,,,,"{""J_modal_pair"": ""1-macro"", ""J_nonmodal_step_share"": 0.24147201147021924, ""rank_divergent_share"": 0.35714285714285715}"
guard_G6,,G6 pass,False,,,,,,"{""half_width"": 0.07467403628117913}"
guard_caps,,caps pass,True,,,,,,"{""gpu_seconds"": 503.75759667830425, ""status"": ""terminal"", ""wall_seconds"": 519.6720574840001}"
angle_auc_C-F-1,angle,AUC C-F-1,0.47709235209235207,0.43344155844155846,0.5257936507936508,DESCRIPTIVE,21,7,
angle_auc_C-F-5,angle,AUC C-F-5,0.5764790764790764,0.5079365079365079,0.65007215007215,DESCRIPTIVE,21,7,
angle_auc_C-F-15,angle,AUC C-F-15,0.47474747474747475,0.40476190476190477,0.5436507936507937,DESCRIPTIVE,21,7,
angle_auc_C-J,angle,AUC C-J,0.5459956709956709,0.4880952380952381,0.6114718614718615,DESCRIPTIVE,21,7,
angle_coverage,angle,successful slots resolved within endpoint 225,5,,,,,,"{""reached_within_225"": 5, ""resolution_step_unmeasured"": 0, ""successful_slots"": 7}"
power_J-F*,power,J - F* [F-5-macro],0.027333959899749388,-0.06907894736842103,0.1280545112781955,DESCRIPTIVE,24,8,undefined 0
power_J-F_hindsight,power,J - F_hindsight [F-1-macro],0.0013314536340852173,-0.06555451127819548,0.06101190476190476,DESCRIPTIVE,24,8,undefined 0
"power_J-F(1,macro)",power,"J - F(1,macro)",0.0013314536340852173,-0.06555451127819548,0.06101190476190476,DESCRIPTIVE,24,8,undefined 0
"power_J-F(1,continuous)",power,"J - F(1,continuous)",0.01958020050125313,-0.048245614035087724,0.08663847117794464,DESCRIPTIVE,24,8,undefined 0
power_J-M,power,J - M,-0.020989974937343357,-0.07894736842105263,0.03383458646616541,DESCRIPTIVE,24,8,undefined 0
power_J-OL,power,J - OL,-0.008380325814536339,-0.06469298245614036,0.057800751879699255,DESCRIPTIVE,24,8,undefined 0
power_J-T,power,J - T,0.005560776942355891,-0.05921052631578947,0.08012218045112782,DESCRIPTIVE,24,8,undefined 0
power_J-D,power,J - D,0.020050125313283207,-0.039473684210526314,0.07738095238095238,DESCRIPTIVE,24,8,undefined 0
power_C-J-C-F*,power,C-J - C-F* [C-F-5],-0.04714912280701755,-0.1699561403508772,0.07017543859649122,DESCRIPTIVE,24,8,undefined 0
power_top1_J-F*,power,top-1 J - F* [F-5-macro] (pooled descriptive),0.0,0.0,0.0,DESCRIPTIVE,24,8,J 0/24; F* 0/24; chance 0.052083333333333336
power_spread,power,fixed-pair spread max_F - min_F,0.4909147869674185,0.45942982456140347,0.5263157894736842,DESCRIPTIVE,24,8,
power_auc_F-1-continuous,power,AUC F-1-continuous,0.5091635338345865,0.4883302005012532,0.5361842105263158,DESCRIPTIVE,24,8,
power_auc_F-1-micro,power,AUC F-1-micro,0.5198151629072681,0.5043859649122807,0.5417449874686716,DESCRIPTIVE,24,8,
power_auc_F-1-macro,power,AUC F-1-macro,0.5274122807017544,0.4736842105263158,0.5921052631578948,DESCRIPTIVE,24,8,
power_auc_F-5-continuous,power,AUC F-5-continuous,0.45817669172932335,0.37374686716791977,0.5493421052631579,DESCRIPTIVE,24,8,
power_auc_F-5-micro,power,AUC F-5-micro,0.468828320802005,0.37938596491228066,0.5460526315789473,DESCRIPTIVE,24,8,
power_auc_F-5-macro,power,AUC F-5-macro,0.5014097744360901,0.4135338345864662,0.6055764411027569,DESCRIPTIVE,24,8,
power_auc_F-15-continuous,power,AUC F-15-continuous,0.46177944862155385,0.40256892230576435,0.5275689223057645,DESCRIPTIVE,24,8,
power_auc_F-15-micro,power,AUC F-15-micro,0.4515977443609023,0.3991228070175439,0.519619360902255,DESCRIPTIVE,24,8,
power_auc_F-15-macro,power,AUC F-15-macro,0.4993734335839599,0.4379699248120301,0.5592105263157894,DESCRIPTIVE,24,8,
power_auc_J,power,AUC J,0.5287437343358395,0.46929824561403505,0.5906171679197996,DESCRIPTIVE,24,8,
power_auc_M,power,AUC M,0.5497337092731829,0.5069607612781956,0.5910087719298246,DESCRIPTIVE,24,8,
power_auc_T,power,AUC T,0.5231829573934836,0.474937343358396,0.5723684210526316,DESCRIPTIVE,24,8,
power_auc_D,power,AUC D,0.5086936090225564,0.46593045112781956,0.5559445488721801,DESCRIPTIVE,24,8,
power_auc_OL,power,AUC OL,0.537124060150376,0.4833959899749373,0.587719298245614,DESCRIPTIVE,24,8,
power_auc_C-F-1,power,AUC C-F-1,0.5087719298245614,0.4736842105263158,0.5504385964912281,DESCRIPTIVE,24,8,
power_auc_C-F-5,power,AUC C-F-5,0.6051065162907268,0.49122807017543857,0.7279135338345865,DESCRIPTIVE,24,8,
power_auc_C-F-15,power,AUC C-F-15,0.5765977443609023,0.4954573934837092,0.6774749373433584,DESCRIPTIVE,24,8,
power_auc_C-J,power,AUC C-J,0.5579573934837092,0.49671052631578944,0.606046365914787,DESCRIPTIVE,24,8,
power_coverage,power,successful slots resolved within endpoint 225,4,,,,,,"{""reached_within_225"": 4, ""resolution_step_unmeasured"": 0, ""successful_slots"": 8}"
compute_F-1-continuous,,compute F-1-continuous,49.5182599099935,,,,,,"{""controller_calls"": 0, ""linear_macs"": 848940307200, ""records"": 177, ""transition_calls"": 592650}"
compute_F-1-micro,,compute F-1-micro,59.89405663211073,,,,,,"{""controller_calls"": 0, ""linear_macs"": 1064076998400, ""records"": 177, ""transition_calls"": 592650}"
compute_F-1-macro,,compute F-1-macro,54.254072344017914,,,,,,"{""controller_calls"": 0, ""linear_macs"": 868056825600, ""records"": 177, ""transition_calls"": 592650}"
compute_F-5-continuous,,compute F-5-continuous,9.992853384988848,,,,,,"{""controller_calls"": 0, ""linear_macs"": 169788061440, ""records"": 177, ""transition_calls"": 118530}"
compute_F-5-micro,,compute F-5-micro,11.92973294800322,,,,,,"{""controller_calls"": 0, ""linear_macs"": 212815399680, ""records"": 177, ""transition_calls"": 118530}"
compute_F-5-macro,,compute F-5-macro,10.817573723048554,,,,,,"{""controller_calls"": 0, ""linear_macs"": 173611365120, ""records"": 177, ""transition_calls"": 118530}"
compute_F-15-continuous,,compute F-15-continuous,3.361339120005141,,,,,,"{""controller_calls"": 0, ""linear_macs"": 56596020480, ""records"": 177, ""transition_calls"": 39510}"
compute_F-15-micro,,compute F-15-micro,4.053890710987616,,,,,,"{""controller_calls"": 0, ""linear_macs"": 70938466560, ""records"": 177, ""transition_calls"": 39510}"
compute_F-15-macro,,compute F-15-macro,3.645701468019979,,,,,,"{""controller_calls"": 0, ""linear_macs"": 57870455040, ""records"": 177, ""transition_calls"": 39510}"
compute_J,,compute J,44.06939126714133,,,,,,"{""controller_calls"": 386786, ""linear_macs"": 587803681280, ""records"": 177, ""transition_calls"": 386786}"
compute_M,,compute M,47.60366662402521,,,,,,"{""controller_calls"": 386994, ""linear_macs"": 587803075584, ""records"": 177, ""transition_calls"": 386994}"
compute_T,,compute T,43.96022936300142,,,,,,"{""controller_calls"": 397610, ""linear_macs"": 593203044864, ""records"": 177, ""transition_calls"": 397610}"
compute_D,,compute D,48.20596802493674,,,,,,"{""controller_calls"": 434610, ""linear_macs"": 658166889984, ""records"": 177, ""transition_calls"": 434610}"
compute_OL,,compute OL,35.21104992189794,,,,,,"{""controller_calls"": 0, ""linear_macs"": 577041049856, ""records"": 177, ""transition_calls"": 387818}"
compute_C-F-1,,compute C-F-1,38.77760106806818,,,,,,"{""controller_calls"": 0, ""linear_macs"": 1097706330000, ""records"": 177, ""transition_calls"": 592650}"
compute_C-F-5,,compute C-F-5,7.810479246094474,,,,,,"{""controller_calls"": 0, ""linear_macs"": 219541266000, ""records"": 177, ""transition_calls"": 118530}"
compute_C-F-15,,compute C-F-15,2.6467968169308733,,,,,,"{""controller_calls"": 0, ""linear_macs"": 73180422000, ""records"": 177, ""transition_calls"": 39510}"
compute_C-J,,compute C-J,28.00493410503259,,,,,,"{""controller_calls"": 350982, ""linear_macs"": 661353627690, ""records"": 177, ""transition_calls"": 350982}"
