system,seed,states_scored,typed_decision_failures,predicate_success_states,mean_chosen_realized_count_cost,mean_oracle_best_realized_count_cost,mean_gap_cost,transition_calls,linear_macs
issue-77-n1-012-a08,hybrid-fixed-h1,20260909,,12,66.346,n/a,54.447,11.900,n/a
issue-77-n1-013-a04,hybrid-fixed-h1,20260909,,12,65.693,n/a,57.876,7.817,n/a
issue-77-n1-014-a01,hybrid-fixed-h1,20260909,,12,46.459,n/a,41.708,4.751,n/a
issue-77-n1-014-a10,hybrid-fixed-h1,20260909,,12,46.459,n/a,41.708,4.751,n/a
issue-77-n1-015-a06,hybrid-fixed-h1,20260909,,12,54.366,n/a,27.495,26.871,n/a
issue-77-n1-016-a03,hybrid-fixed-h1,20260909,,12,44.277,n/a,27.810,16.468,n/a
issue-77-n1-016-a12,hybrid-fixed-h1,20260909,,12,44.277,n/a,27.810,16.468,n/a
issue-77-n1-001-a00,hybrid-fixed-h1,20260910,,9,53.041,n/a,38.563,14.478,n/a
issue-77-n1-001-a07,hybrid-fixed-h1,20260910,,9,53.041,n/a,38.563,14.478,n/a
issue-77-n1-003-a00,hybrid-fixed-h1,20260910,,9,42.063,n/a,41.677,0.386,n/a
issue-77-n1-003-a10,hybrid-fixed-h1,20260910,,9,42.063,n/a,41.677,0.386,n/a
issue-77-n1-004-a07,hybrid-fixed-h1,20260910,,11,89.135,n/a,77.595,11.541,n/a
issue-77-n1-005-a07,hybrid-fixed-h1,20260910,,8,67.431,n/a,67.431,0.000,n/a
issue-77-n1-006-a05,hybrid-fixed-h1,20260910,,8,70.753,n/a,63.951,6.802,n/a
issue-77-n1-006-a11,hybrid-fixed-h1,20260910,,8,70.753,n/a,63.951,6.802,n/a
issue-77-n1-007-a05,hybrid-fixed-h1,20260910,,12,70.731,n/a,61.919,8.812,n/a
issue-77-n1-007-a12,hybrid-fixed-h1,20260910,,12,70.731,n/a,61.919,8.812,n/a
issue-77-n1-008-a05,hybrid-fixed-h1,20260910,,7,59.132,n/a,50.814,8.318,n/a
issue-77-n1-008-a12,hybrid-fixed-h1,20260910,,7,59.132,n/a,50.814,8.318,n/a
issue-77-n1-009-a00,hybrid-fixed-h1,20260910,,7,52.657,n/a,47.712,4.945,n/a
issue-77-n1-009-a09,hybrid-fixed-h1,20260910,,7,52.657,n/a,47.712,4.945,n/a
issue-77-n1-010-a06,hybrid-fixed-h1,20260910,,7,68.027,n/a,33.362,34.665,n/a
issue-77-n1-011-a02,hybrid-fixed-h1,20260910,,10,57.549,n/a,45.768,11.781,n/a
issue-77-n1-011-a11,hybrid-fixed-h1,20260910,,10,57.549,n/a,45.768,11.781,n/a
issue-77-n1-012-a08,hybrid-fixed-h1,20260910,,7,65.501,n/a,54.447,11.055,n/a
issue-77-n1-013-a04,hybrid-fixed-h1,20260910,,8,72.597,n/a,57.876,14.721,n/a
issue-77-n1-014-a01,hybrid-fixed-h1,20260910,,10,51.696,n/a,41.708,9.988,n/a
issue-77-n1-014-a10,hybrid-fixed-h1,20260910,,10,51.696,n/a,41.708,9.988,n/a
issue-77-n1-015-a06,hybrid-fixed-h1,20260910,,9,36.572,n/a,27.495,9.078,n/a
issue-77-n1-016-a03,hybrid-fixed-h1,20260910,,10,45.547,n/a,27.810,17.738,n/a
issue-77-n1-016-a12,hybrid-fixed-h1,20260910,,10,45.547,n/a,27.810,17.738,n/a
issue-77-n1-001-a00,continuous-fixed-h1,20260908,,9,53.041,n/a,38.563,14.478,n/a
issue-77-n1-001-a07,continuous-fixed-h1,20260908,,9,53.041,n/a,38.563,14.478,n/a
issue-77-n1-003-a00,continuous-fixed-h1,20260908,,9,42.063,n/a,41.677,0.386,n/a
issue-77-n1-003-a10,continuous-fixed-h1,20260908,,9,42.063,n/a,41.677,0.386,n/a
issue-77-n1-004-a07,continuous-fixed-h1,20260908,,8,89.635,n/a,77.595,12.040,n/a
issue-77-n1-005-a07,continuous-fixed-h1,20260908,,8,67.431,n/a,67.431,0.000,n/a
issue-77-n1-006-a05,continuous-fixed-h1,20260908,,9,71.475,n/a,63.951,7.524,n/a
issue-77-n1-006-a11,continuous-fixed-h1,20260908,,9,71.475,n/a,63.951,7.524,n/a
issue-77-n1-007-a05,continuous-fixed-h1,20260908,,9,61.919,n/a,61.919,0.000,n/a
issue-77-n1-007-a12,continuous-fixed-h1,20260908,,9,61.919,n/a,61.919,0.000,n/a
issue-77-n1-008-a05,continuous-fixed-h1,20260908,,9,55.749,n/a,50.814,4.935,n/a
issue-77-n1-008-a12,continuous-fixed-h1,20260908,,9,55.749,n/a,50.814,4.935,n/a
issue-77-n1-009-a00,continuous-fixed-h1,20260908,,9,47.712,n/a,47.712,0.000,n/a
issue-77-n1-009-a09,continuous-fixed-h1,20260908,,9,47.712,n/a,47.712,0.000,n/a
issue-77-n1-010-a06,continuous-fixed-h1,20260908,,9,46.951,n/a,33.362,13.588,n/a
issue-77-n1-011-a02,continuous-fixed-h1,20260908,,9,45.768,n/a,45.768,0.000,n/a
