system,seed,states_scored,typed_decision_failures,predicate_success_states,mean_chosen_realized_count_cost,mean_oracle_best_realized_count_cost,mean_gap_cost,transition_calls,linear_macs
issue-77-n1-009-a00,no-model-ordinal-prior,20260909,,8,153.479,n/a,47.712,105.767,n/a
issue-77-n1-009-a09,no-model-ordinal-prior,20260909,,8,153.479,n/a,47.712,105.767,n/a
issue-77-n1-010-a06,no-model-ordinal-prior,20260909,,8,67.959,n/a,33.362,34.597,n/a
issue-77-n1-011-a02,no-model-ordinal-prior,20260909,,8,52.028,n/a,45.768,6.260,n/a
issue-77-n1-011-a11,no-model-ordinal-prior,20260909,,8,52.028,n/a,45.768,6.260,n/a
issue-77-n1-012-a08,no-model-ordinal-prior,20260909,,8,72.187,n/a,54.447,17.740,n/a
issue-77-n1-013-a04,no-model-ordinal-prior,20260909,,8,72.597,n/a,57.876,14.721,n/a
issue-77-n1-014-a01,no-model-ordinal-prior,20260909,,8,47.836,n/a,41.708,6.127,n/a
issue-77-n1-014-a10,no-model-ordinal-prior,20260909,,8,47.836,n/a,41.708,6.127,n/a
issue-77-n1-015-a06,no-model-ordinal-prior,20260909,,8,56.574,n/a,27.495,29.079,n/a
issue-77-n1-016-a03,no-model-ordinal-prior,20260909,,8,36.942,n/a,27.810,9.133,n/a
issue-77-n1-016-a12,no-model-ordinal-prior,20260909,,8,36.942,n/a,27.810,9.133,n/a
issue-77-n1-001-a00,no-model-ordinal-prior,20260910,,8,49.098,n/a,38.563,10.536,n/a
issue-77-n1-001-a07,no-model-ordinal-prior,20260910,,8,49.098,n/a,38.563,10.536,n/a
issue-77-n1-003-a00,no-model-ordinal-prior,20260910,prior_candidate_absent,n/a,n/a,n/a,41.677,n/a,n/a
issue-77-n1-003-a10,no-model-ordinal-prior,20260910,prior_candidate_absent,n/a,n/a,n/a,41.677,n/a,n/a
issue-77-n1-004-a07,no-model-ordinal-prior,20260910,,8,89.635,n/a,77.595,12.040,n/a
issue-77-n1-005-a07,no-model-ordinal-prior,20260910,,8,67.431,n/a,67.431,0.000,n/a
issue-77-n1-006-a05,no-model-ordinal-prior,20260910,,8,70.753,n/a,63.951,6.802,n/a
issue-77-n1-006-a11,no-model-ordinal-prior,20260910,,8,70.753,n/a,63.951,6.802,n/a
issue-77-n1-007-a05,no-model-ordinal-prior,20260910,,8,68.567,n/a,61.919,6.648,n/a
issue-77-n1-007-a12,no-model-ordinal-prior,20260910,,8,68.567,n/a,61.919,6.648,n/a
issue-77-n1-008-a05,no-model-ordinal-prior,20260910,,8,64.601,n/a,50.814,13.787,n/a
issue-77-n1-008-a12,no-model-ordinal-prior,20260910,,8,64.601,n/a,50.814,13.787,n/a
issue-77-n1-009-a00,no-model-ordinal-prior,20260910,,8,153.479,n/a,47.712,105.767,n/a
issue-77-n1-009-a09,no-model-ordinal-prior,20260910,,8,153.479,n/a,47.712,105.767,n/a
issue-77-n1-010-a06,no-model-ordinal-prior,20260910,,8,67.959,n/a,33.362,34.597,n/a
issue-77-n1-011-a02,no-model-ordinal-prior,20260910,,8,52.028,n/a,45.768,6.260,n/a
issue-77-n1-011-a11,no-model-ordinal-prior,20260910,,8,52.028,n/a,45.768,6.260,n/a
issue-77-n1-012-a08,no-model-ordinal-prior,20260910,,8,72.187,n/a,54.447,17.740,n/a
issue-77-n1-013-a04,no-model-ordinal-prior,20260910,,8,72.597,n/a,57.876,14.721,n/a
issue-77-n1-014-a01,no-model-ordinal-prior,20260910,,8,47.836,n/a,41.708,6.127,n/a
issue-77-n1-014-a10,no-model-ordinal-prior,20260910,,8,47.836,n/a,41.708,6.127,n/a
issue-77-n1-015-a06,no-model-ordinal-prior,20260910,,8,56.574,n/a,27.495,29.079,n/a
issue-77-n1-016-a03,no-model-ordinal-prior,20260910,,8,36.942,n/a,27.810,9.133,n/a
issue-77-n1-016-a12,no-model-ordinal-prior,20260910,,8,36.942,n/a,27.810,9.133,n/a

state,family,source_member,admissible_candidates,best_ordinal,best_branch_identity,best_realized_count_cost,oracle_indicator
issue-77-n1-001-a00,type010103,issue-77-n1-001,12,7,issue-77-n1-001-a07,38.563,n/a
issue-77-n1-001-a07,type010103,issue-77-n1-001,12,7,issue-77-n1-001-a07,38.563,n/a
issue-77-n1-003-a00,type010103,issue-77-n1-003,9,1,issue-77-n1-003-a01,41.677,n/a
issue-77-n1-003-a10,type010103,issue-77-n1-003,9,1,issue-77-n1-003-a01,41.677,n/a
issue-77-n1-004-a07,type010103,issue-77-n1-004,9,2,issue-77-n1-004-a02,77.595,n/a
issue-77-n1-005-a07,type010103,issue-77-n1-005,4,8,issue-77-n1-005-a08,67.431,n/a
issue-77-n1-006-a05,type010103,issue-77-n1-006,13,5,issue-77-n1-006-a05,63.951,n/a
issue-77-n1-006-a11,type010103,issue-77-n1-006,13,5,issue-77-n1-006-a05,63.951,n/a
issue-77-n1-007-a05,type010103,issue-77-n1-007,13,9,issue-77-n1-007-a09,61.919,n/a
issue-77-n1-007-a12,type010103,issue-77-n1-007,13,9,issue-77-n1-007-a09,61.919,n/a
issue-77-n1-008-a05,type010103,issue-77-n1-008,13,2,issue-77-n1-008-a02,50.814,n/a
issue-77-n1-008-a12,type010103,issue-77-n1-008,13,2,issue-77-n1-008-a02,50.814,n/a
issue-77-n1-009-a00,type010105,issue-77-n1-009,13,9,issue-77-n1-009-a09,47.712,n/a
issue-77-n1-009-a09,type010105,issue-77-n1-009,13,9,issue-77-n1-009-a09,47.712,n/a
issue-77-n1-010-a06,type010105,issue-77-n1-010,13,4,issue-77-n1-010-a04,33.362,n/a
issue-77-n1-011-a02,type010105,issue-77-n1-011,13,9,issue-77-n1-011-a09,45.768,n/a
issue-77-n1-011-a11,type010105,issue-77-n1-011,13,9,issue-77-n1-011-a09,45.768,n/a
issue-77-n1-012-a08,type010105,issue-77-n1-012,13,2,issue-77-n1-012-a02,54.447,n/a
issue-77-n1-013-a04,type010105,issue-77-n1-013,13,4,issue-77-n1-013-a04,57.876,n/a
issue-77-n1-014-a01,type010105,issue-77-n1-014,13,5,issue-77-n1-014-a05,41.708,n/a
issue-77-n1-014-a10,type010105,issue-77-n1-014,13,5,issue-77-n1-014-a05,41.708,n/a
issue-77-n1-015-a06,type010105,issue-77-n1-015,13,0,issue-77-n1-015-a00,27.495,n/a
issue-77-n1-016-a03,type010105,issue-77-n1-016,13,4,issue-77-n1-016-a04,27.810,n/a
issue-77-n1-016-a12,type010105,issue-77-n1-016,13,4,issue-77-n1-016-a04,27.810,n/a

contrast_system,metric,mean,descriptive_95_low,descriptive_95_high,paired_states
