oracle_per_state,family,candidates,executed,typed_failures,successes,successful_ordinals,ceiling_indicator
issue-77-n1-001-a00,type010103,12,8,4,1,6,1
selection,continuous-fixed-h5,20260910,issue-77-n1-003-a10,False,7,issue-77-n1-003-a07,False,
selection,no-model-ordinal-prior,20260908,issue-77-n1-003-a10,False,7,issue-77-n1-003-a07,False,
selection,no-model-ordinal-prior,20260909,issue-77-n1-003-a10,False,7,issue-77-n1-003-a07,False,
selection,no-model-ordinal-prior,20260910,issue-77-n1-003-a10,False,7,issue-77-n1-003-a07,False,
selection,hybrid-fixed-h1,20260908,issue-77-n1-004-a07,False,12,issue-77-n1-004-a12,False,
selection,hybrid-fixed-h1,20260909,issue-77-n1-004-a07,False,12,issue-77-n1-004-a12,False,
selection,hybrid-fixed-h1,20260910,issue-77-n1-004-a07,False,11,issue-77-n1-004-a11,,
selection,continuous-fixed-h1,20260908,issue-77-n1-004-a07,False,8,issue-77-n1-004-a08,,
selection,continuous-fixed-h1,20260909,issue-77-n1-004-a07,False,7,issue-77-n1-004-a07,False,
selection,continuous-fixed-h1,20260910,issue-77-n1-004-a07,False,7,issue-77-n1-004-a07,False,
selection,continuous-fixed-h5,20260908,issue-77-n1-004-a07,False,11,issue-77-n1-004-a11,,
selection,continuous-fixed-h5,20260909,issue-77-n1-004-a07,False,7,issue-77-n1-004-a07,False,
selection,continuous-fixed-h5,20260910,issue-77-n1-004-a07,False,7,issue-77-n1-004-a07,False,
selection,no-model-ordinal-prior,20260908,issue-77-n1-004-a07,False,8,issue-77-n1-004-a08,,
selection,no-model-ordinal-prior,20260909,issue-77-n1-004-a07,False,8,issue-77-n1-004-a08,,
selection,no-model-ordinal-prior,20260910,issue-77-n1-004-a07,False,8,issue-77-n1-004-a08,,
selection,hybrid-fixed-h1,20260908,issue-77-n1-005-a07,False,,,,decision_failure
selection,hybrid-fixed-h1,20260909,issue-77-n1-005-a07,False,,,,decision_failure
selection,hybrid-fixed-h1,20260910,issue-77-n1-005-a07,False,,,,decision_failure
selection,continuous-fixed-h1,20260908,issue-77-n1-005-a07,False,,,,decision_failure
selection,continuous-fixed-h1,20260909,issue-77-n1-005-a07,False,,,,decision_failure
selection,continuous-fixed-h1,20260910,issue-77-n1-005-a07,False,,,,decision_failure
selection,continuous-fixed-h5,20260908,issue-77-n1-005-a07,False,,,,decision_failure
selection,continuous-fixed-h5,20260909,issue-77-n1-005-a07,False,,,,decision_failure
selection,continuous-fixed-h5,20260910,issue-77-n1-005-a07,False,,,,decision_failure
selection,no-model-ordinal-prior,20260908,issue-77-n1-005-a07,False,,,,decision_failure
selection,no-model-ordinal-prior,20260909,issue-77-n1-005-a07,False,,,,decision_failure
selection,no-model-ordinal-prior,20260910,issue-77-n1-005-a07,False,,,,decision_failure
selection,hybrid-fixed-h1,20260908,issue-77-n1-006-a05,True,12,issue-77-n1-006-a12,False,
selection,hybrid-fixed-h1,20260909,issue-77-n1-006-a05,True,12,issue-77-n1-006-a12,False,
selection,hybrid-fixed-h1,20260910,issue-77-n1-006-a05,True,8,issue-77-n1-006-a08,False,
selection,continuous-fixed-h1,20260908,issue-77-n1-006-a05,True,9,issue-77-n1-006-a09,,
