[native-refit] retain completed predictor-hybrid-760930001; no new optimizer work or allowance
[native-refit] retain completed predictor-pure-760930001; no new optimizer work or allowance
[native-refit] retain completed predictor-hybrid-760930002; no new optimizer work or allowance
[native-refit] retain completed predictor-pure-760930002; no new optimizer work or allowance
[native-refit] predictor-hybrid-760930003 updates=9563/12000 applied=9486 skipped=77 loss=0.13630370795726776 budget=1990.2/14400s ETA=1077.7s CUDA=437.8MiB
[native-refit] predictor-hybrid-760930003 updates=9574/12000 applied=9497 skipped=77 loss=0.5053855776786804 budget=1995.4/14400s ETA=1074.5s CUDA=437.8MiB
[native-refit] predictor-hybrid-760930003 updates=9586/12000 applied=9509 skipped=77 loss=0.04801521822810173 budget=2000.7/14400s ETA=1069.0s CUDA=437.8MiB
[native-refit] predictor-hybrid-760930003 updates=9598/12000 applied=9521 skipped=77 loss=0.15113145112991333 budget=2006.1/14400s ETA=1064.3s CUDA=437.8MiB
[native-refit] predictor-hybrid-760930003 updates=9610/12000 applied=9533 skipped=77 loss=0.3117554187774658 budget=2011.4/14400s ETA=1058.8s CUDA=437.8MiB
[native-refit] predictor-hybrid-760930003 updates=9622/12000 applied=9545 skipped=77 loss=0.03703349083662033 budget=2016.5/14400s ETA=1052.7s CUDA=437.8MiB
[native-refit] predictor-hybrid-760930003 updates=9634/12000 applied=9556 skipped=78 loss=0.13916173577308655 budget=2021.8/14400s ETA=1047.3s CUDA=437.8MiB
[native-refit] predictor-hybrid-760930003 updates=9646/12000 applied=9568 skipped=78 loss=0.5754267573356628 budget=2027.3/14400s ETA=1042.9s CUDA=437.8MiB
[native-refit] predictor-hybrid-760930003 updates=9658/12000 applied=9580 skipped=78 loss=0.047467660158872604 budget=2032.4/14400s ETA=1036.5s CUDA=437.8MiB
[native-refit] predictor-hybrid-760930003 updates=9670/12000 applied=9592 skipped=78 loss=0.14058932662010193 budget=2037.8/14400s ETA=1031.5s CUDA=437.8MiB
[native-refit] predictor-hybrid-760930003 updates=9682/12000 applied=9604 skipped=78 loss=0.6980971097946167 budget=2043.2/14400s ETA=1026.7s CUDA=437.8MiB
[native-refit] predictor-hybrid-760930003 updates=9694/12000 applied=9616 skipped=78 loss=0.05384128540754318 budget=2048.3/14400s ETA=1020.4s CUDA=437.8MiB
[native-refit] predictor-hybrid-760930003 updates=9706/12000 applied=9628 skipped=78 loss=0.1476268172264099 budget=2053.8/14400s ETA=1016.0s CUDA=437.8MiB
[native-refit] predictor-hybrid-760930003 updates=9718/12000 applied=9640 skipped=78 loss=0.3499281108379364 budget=2059.1/14400s ETA=1010.4s CUDA=437.8MiB
[native-refit] predictor-hybrid-760930003 updates=9730/12000 applied=9652 skipped=78 loss=0.044203877449035645 budget=2064.3/14400s ETA=1004.6s CUDA=437.8MiB
[native-refit] predictor-hybrid-760930003 updates=9742/12000 applied=9664 skipped=78 loss=0.14320074021816254 budget=2069.9/14400s ETA=1000.5s CUDA=437.8MiB
[native-refit] predictor-hybrid-760930003 updates=9754/12000 applied=9676 skipped=78 loss=0.5883077383041382 budget=2075.1/14400s ETA=994.8s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=9766/12000 applied=9688 skipped=78 loss=0.04222767427563667 budget=2080.3/14400s ETA=988.9s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=9778/12000 applied=9700 skipped=78 loss=0.16367468237876892 budget=2085.6/14400s ETA=983.7s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=9790/12000 applied=9712 skipped=78 loss=0.5632197260856628 budget=2091.0/14400s ETA=978.5s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=9802/12000 applied=9724 skipped=78 loss=0.049814220517873764 budget=2096.1/14400s ETA=972.7s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=9814/12000 applied=9735 skipped=79 loss=0.161320298910141 budget=2101.3/14400s ETA=966.9s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=9826/12000 applied=9747 skipped=79 loss=0.5098620653152466 budget=2106.7/14400s ETA=962.0s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=9838/12000 applied=9759 skipped=79 loss=0.041015371680259705 budget=2112.0/14400s ETA=956.7s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=9850/12000 applied=9771 skipped=79 loss=0.17915892601013184 budget=2117.5/14400s ETA=951.7s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=9862/12000 applied=9783 skipped=79 loss=0.19100750982761383 budget=2122.8/14400s ETA=946.6s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=9874/12000 applied=9795 skipped=79 loss=0.06443227827548981 budget=2128.1/14400s ETA=941.1s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=9889/12000 applied=9809 skipped=80 loss=0.47213923931121826 budget=2133.8/14400s ETA=932.0s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=9901/12000 applied=9821 skipped=80 loss=0.04998506233096123 budget=2139.2/14400s ETA=926.9s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=9913/12000 applied=9833 skipped=80 loss=0.1584869623184204 budget=2144.6/14400s ETA=921.8s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=9925/12000 applied=9845 skipped=80 loss=0.670309841632843 budget=2150.0/14400s ETA=916.8s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=9937/12000 applied=9857 skipped=80 loss=0.05652477592229843 budget=2155.1/14400s ETA=911.1s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=9949/12000 applied=9869 skipped=80 loss=0.14911937713623047 budget=2160.5/14400s ETA=906.1s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=9961/12000 applied=9881 skipped=80 loss=0.5078677535057068 budget=2166.0/14400s ETA=901.2s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=9973/12000 applied=9893 skipped=80 loss=0.05326808616518974 budget=2171.1/14400s ETA=895.4s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=9985/12000 applied=9905 skipped=80 loss=0.15892310440540314 budget=2176.6/14400s ETA=890.5s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=9997/12000 applied=9917 skipped=80 loss=0.8940083384513855 budget=2181.9/14400s ETA=885.2s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=10009/12000 applied=9929 skipped=80 loss=0.03203258290886879 budget=2187.2/14400s ETA=879.9s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=10021/12000 applied=9941 skipped=80 loss=0.1703433245420456 budget=2192.6/14400s ETA=874.8s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=10033/12000 applied=9953 skipped=80 loss=0.949205219745636 budget=2198.4/14400s ETA=870.6s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=10045/12000 applied=9965 skipped=80 loss=0.045837052166461945 budget=2203.6/14400s ETA=865.0s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=10060/12000 applied=9979 skipped=81 loss=0.1943283975124359 budget=2209.0/14400s ETA=855.8s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=10072/12000 applied=9991 skipped=81 loss=0.03670119494199753 budget=2214.3/14400s ETA=850.7s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=10084/12000 applied=10003 skipped=81 loss=0.16611500084400177 budget=2219.7/14400s ETA=845.4s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=10096/12000 applied=10015 skipped=81 loss=0.3650885224342346 budget=2225.3/14400s ETA=840.8s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=10108/12000 applied=10027 skipped=81 loss=0.037661172449588776 budget=2230.5/14400s ETA=835.2s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=10120/12000 applied=10039 skipped=81 loss=0.14672186970710754 budget=2235.8/14400s ETA=830.0s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=10132/12000 applied=10051 skipped=81 loss=0.6209948658943176 budget=2241.0/14400s ETA=824.6s CUDA=438.3MiB
