row_type,contrast_id,covariate,kind,role,unit,target_stratum,reference_stratum,n_target,n_reference,states_target,states_reference,value_target,value_reference,difference,ci_low,ci_high,margin,interval_excludes_zero,exceeds_margin,shift,label
mechanism_measure,,,,mechanism_inventory_only,minutes_since_first_dispatch,stability,,3,,,,45.50555555555555,45.733333333333334,44.083333333333336,46.7,,,,,descriptive,DESCRIPTIVE
mechanism_measure,,,,mechanism_inventory_only,dispatch_index,stability,,3,,,,52.0,52.0,51.0,53.0,,,,,descriptive,DESCRIPTIVE
mechanism_measure,,,,mechanism_inventory_only,live_at_dispatch,stability,,3,,,,3.3333333333333335,4.0,2.0,4.0,,,,,descriptive,DESCRIPTIVE
mechanism_measure,,,,mechanism_inventory_only,dispatch_burst_size,stability,,3,,,,1.0,1.0,1.0,1.0,,,,,descriptive,DESCRIPTIVE
mechanism_measure,,,,mechanism_inventory_only,all_workers_live_dispatch_share,timeout,executed,52,234,18,23,0.019230769230769232,0.6153846153846154,-0.5961538461538461,-0.7048167480778437,-0.48755481634182907,,,,descriptive,DESCRIPTIVE
association_context,,frozen_replay_pig_removed,rate,descriptive_only,published success rate,indicator_true,indicator_false,7,227,7,23,1.0,0.0,1.0,1.0,1.0,,,,descriptive,DESCRIPTIVE
per_state,,,,,slots,issue-77-n1-001-a00,type010103,12,8,,,51.598394791285195,53.748721688985825,4,0,1,True,,,descriptive,DESCRIPTIVE
per_state,,,,,slots,issue-77-n1-001-a07,type010103,12,12,,,51.598394791285195,53.748721688985825,0,0,1,True,,,descriptive,DESCRIPTIVE
per_state,,,,,slots,issue-77-n1-003-a00,type010103,9,9,,,44.31833418541484,42.184896141290665,0,0,0,False,,,descriptive,DESCRIPTIVE
per_state,,,,,slots,issue-77-n1-003-a10,type010103,9,7,,,44.31833418541484,42.184896141290665,2,0,0,False,,,descriptive,DESCRIPTIVE
per_state,,,,,slots,issue-77-n1-004-a07,type010103,9,5,,,88.80119251542621,89.29847532510757,4,0,0,False,,,descriptive,DESCRIPTIVE
per_state,,,,,slots,issue-77-n1-005-a07,type010103,4,0,,,77.04024168848991,79.12645530700684,1,3,1,True,,,descriptive,DESCRIPTIVE
per_state,,,,,slots,issue-77-n1-006-a05,type010103,13,12,,,70.3164460338079,71.07304728031158,1,0,1,True,,,descriptive,DESCRIPTIVE
per_state,,,,,slots,issue-77-n1-006-a11,type010103,13,12,,,70.3164460338079,71.07304728031158,1,0,1,True,,,descriptive,DESCRIPTIVE
per_state,,,,,slots,issue-77-n1-007-a05,type010103,13,11,,,68.47804922782458,68.15492224693298,2,0,0,False,,,descriptive,DESCRIPTIVE
per_state,,,,,slots,issue-77-n1-007-a12,type010103,13,10,,,68.47804922782458,68.15492224693298,3,0,0,False,,,descriptive,DESCRIPTIVE
per_state,,,,,slots,issue-77-n1-008-a05,type010103,13,12,,,60.444360921016106,63.39050477743149,1,0,0,False,,,descriptive,DESCRIPTIVE
per_state,,,,,slots,issue-77-n1-008-a12,type010103,13,13,,,60.444360921016106,63.39050477743149,0,0,0,False,,,descriptive,DESCRIPTIVE
per_state,,,,,slots,issue-77-n1-009-a00,type010105,13,13,,,255.3652412547515,65.89281702041626,0,0,0,False,,,descriptive,DESCRIPTIVE
per_state,,,,,slots,issue-77-n1-009-a09,type010105,13,9,,,255.3652412547515,65.89281702041626,4,0,0,False,,,descriptive,DESCRIPTIVE
per_state,,,,,slots,issue-77-n1-010-a06,type010105,13,9,,,62.80998505995824,68.0274338722229,4,0,1,True,,,descriptive,DESCRIPTIVE
per_state,,,,,slots,issue-77-n1-011-a02,type010105,13,10,,,52.26799728090946,52.2774258852005,3,0,1,True,,,descriptive,DESCRIPTIVE
per_state,,,,,slots,issue-77-n1-011-a11,type010105,13,11,,,52.26799728090946,52.2774258852005,2,0,1,True,,,descriptive,DESCRIPTIVE
per_state,,,,,slots,issue-77-n1-012-a08,type010105,13,13,,,64.4131061732769,65.50029790401459,0,0,1,True,,,descriptive,DESCRIPTIVE
per_state,,,,,slots,issue-77-n1-013-a04,type010105,13,11,,,67.40065332559439,66.0530138015747,2,0,0,False,,,descriptive,DESCRIPTIVE
per_state,,,,,slots,issue-77-n1-014-a01,type010105,13,8,,,50.68589606193396,49.14430743455887,5,0,1,True,,,descriptive,DESCRIPTIVE
per_state,,,,,slots,issue-77-n1-014-a10,type010105,13,7,,,50.68589606193396,49.14430743455887,6,0,1,True,,,descriptive,DESCRIPTIVE
per_state,,,,,slots,issue-77-n1-015-a06,type010105,13,9,,,51.54071839268391,56.32390037178993,4,0,0,False,,,descriptive,DESCRIPTIVE
per_state,,,,,slots,issue-77-n1-016-a03,type010105,13,10,,,38.010280820039604,36.94234025478363,3,0,1,True,,,descriptive,DESCRIPTIVE
per_state,,,,,slots,issue-77-n1-016-a12,type010105,13,13,,,38.010280820039604,36.94234025478363,0,0,1,True,,,descriptive,DESCRIPTIVE
cited_cross_check,,,,cited_published_never_recomputed,slots,other,,0,0,,,,,,,,,,,descriptive,DESCRIPTIVE
cited_cross_check,,,,cited_published_never_recomputed,slots,stability,,3,1,,,,,,,,,,,descriptive,DESCRIPTIVE
cited_cross_check,,,,cited_published_never_recomputed,slots,timeout,,52,5,,,,,,,,,,,descriptive,DESCRIPTIVE
stability_stratum,,,,separate_typed_stratum,slot,oracle--issue-77-n1-005-a07--a01,issue-77-n1-005-a07,1,,,,82.47732925415039,1.0,False,,,,,,,,
stability_stratum,,,,separate_typed_stratum,slot,oracle--issue-77-n1-005-a07--a02,issue-77-n1-005-a07,2,,,,76.56465220451355,0.6070423804066183,False,,,,,,,,
stability_stratum,,,,separate_typed_stratum,slot,oracle--issue-77-n1-005-a07--a07,issue-77-n1-005-a07,7,,,,81.68825840950012,0.9475582044814449,True,,,,,,,,
